system:index,.geo
00000000000000000144,"{""type"":""Point"",""coordinates"":[-8.566148938679245,41.1537297235023]}"
00000000000000000145,"{""type"":""Point"",""coordinates"":[-8.561126768867926,41.1537297235023]}"
00000000000000000146,"{""type"":""Point"",""coordinates"":[-8.556104599056605,41.1537297235023]}"
00000000000000000147,"{""type"":""Point"",""coordinates"":[-8.68381120283019,41.1575168202765]}"
00000000000000000148,"{""type"":""Point"",""coordinates"":[-8.678430306603774,41.1575168202765]}"
00000000000000000149,"{""type"":""Point"",""coordinates"":[-8.673408136792453,41.1575168202765]}"
00000000000000000150,"{""type"":""Point"",""coordinates"":[-8.668385966981132,41.1575168202765]}"
00000000000000000151,"{""type"":""Point"",""coordinates"":[-8.663363797169811,41.1575168202765]}"
00000000000000000152,"{""type"":""Point"",""coordinates"":[-8.65834162735849,41.1575168202765]}"
00000000000000000153,"{""type"":""Point"",""coordinates"":[-8.65331945754717,41.1575168202765]}"
00000000000000000154,"{""type"":""Point"",""coordinates"":[-8.573323466981133,41.1575168202765]}"
00000000000000000155,"{""type"":""Point"",""coordinates"":[-8.568301297169812,41.1575168202765]}"
00000000000000000156,"{""type"":""Point"",""coordinates"":[-8.563279127358491,41.1575168202765]}"
00000000000000000157,"{""type"":""Point"",""coordinates"":[-8.55574587264151,41.1575168202765]}"
00000000000000000158,"{""type"":""Point"",""coordinates"":[-8.685963561320756,41.16130391705069]}"
00000000000000000159,"{""type"":""Point"",""coordinates"":[-8.680941391509435,41.16130391705069]}"
00000000000000000160,"{""type"":""Point"",""coordinates"":[-8.675919221698114,41.16130391705069]}"
00000000000000000161,"{""type"":""Point"",""coordinates"":[-8.670897051886794,41.16130391705069]}"
00000000000000000162,"{""type"":""Point"",""coordinates"":[-8.665874882075473,41.16130391705069]}"
00000000000000000163,"{""type"":""Point"",""coordinates"":[-8.660852712264152,41.16130391705069]}"
00000000000000000164,"{""type"":""Point"",""coordinates"":[-8.655830542452831,41.16130391705069]}"
00000000000000000165,"{""type"":""Point"",""coordinates"":[-8.65080837264151,41.16130391705069]}"
00000000000000000166,"{""type"":""Point"",""coordinates"":[-8.64578620283019,41.16130391705069]}"
00000000000000000167,"{""type"":""Point"",""coordinates"":[-8.571529834905661,41.16130391705069]}"
00000000000000000168,"{""type"":""Point"",""coordinates"":[-8.56650766509434,41.16130391705069]}"
00000000000000000169,"{""type"":""Point"",""coordinates"":[-8.688115919811322,41.165091013824885]}"
00000000000000000170,"{""type"":""Point"",""coordinates"":[-8.683093750000001,41.165091013824885]}"
00000000000000000171,"{""type"":""Point"",""coordinates"":[-8.67807158018868,41.165091013824885]}"
