system:index,class,.geo
00000000000000000152,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.178064000000001]}"
00000000000000000153,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.177096]}"
00000000000000000154,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.176128]}"
00000000000000000155,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.17516]}"
00000000000000000156,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.174192000000001]}"
00000000000000000157,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.173224000000001]}"
00000000000000000158,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.172256]}"
00000000000000000159,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.171288]}"
00000000000000000160,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.17032]}"
00000000000000000161,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.169352]}"
00000000000000000162,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.168384000000001]}"
00000000000000000163,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.167416000000001]}"
00000000000000000164,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.166448]}"
00000000000000000165,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.16548]}"
00000000000000000166,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.164512]}"
00000000000000000167,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.163544]}"
00000000000000000168,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.162576000000001]}"
00000000000000000169,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.161608000000001]}"
00000000000000000170,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.16064]}"
00000000000000000171,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.159672]}"
00000000000000000172,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.158704]}"
00000000000000000173,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.157736]}"
00000000000000000174,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.156768000000001]}"
00000000000000000175,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.155800000000001]}"
00000000000000000176,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.154832]}"
00000000000000000177,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.153864]}"
00000000000000000178,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.152896]}"
00000000000000000179,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.151928]}"
00000000000000000180,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.150960000000001]}"
00000000000000000181,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.149992000000001]}"
00000000000000000182,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.149024]}"
00000000000000000183,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.148056]}"
00000000000000000184,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.147088]}"
00000000000000000185,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.14612]}"
00000000000000000186,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.145152000000001]}"
00000000000000000187,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.144184000000001]}"
00000000000000000188,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.143216]}"
00000000000000000189,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.142248]}"
00000000000000000190,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.14128]}"
00000000000000000191,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.140312]}"
00000000000000000192,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.139344000000001]}"
00000000000000000193,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.138376000000001]}"
00000000000000000194,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.137408]}"
00000000000000000195,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.13644]}"
00000000000000000196,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.135472]}"
00000000000000000197,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.134504]}"
00000000000000000198,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.133536000000001]}"
00000000000000000199,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.132568000000001]}"
00000000000000000200,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.3252]}"
00000000000000000201,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.324232]}"
00000000000000000202,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.323264]}"
