system:index,.geo
00000000000000000165,"{""type"":""Point"",""coordinates"":[-38.94880326086957,-12.254150417827299]}"
00000000000000000166,"{""type"":""Point"",""coordinates"":[-38.94880326086957,-12.237972144846797]}"
00000000000000000167,"{""type"":""Point"",""coordinates"":[-38.94852717391305,-12.26223955431755]}"
00000000000000000168,"{""type"":""Point"",""coordinates"":[-38.94852717391305,-12.246061281337049]}"
00000000000000000169,"{""type"":""Point"",""coordinates"":[-38.948251086956525,-12.270867966573817]}"
00000000000000000170,"{""type"":""Point"",""coordinates"":[-38.948251086956525,-12.254689693593315]}"
00000000000000000171,"{""type"":""Point"",""coordinates"":[-38.948251086956525,-12.238511420612815]}"
00000000000000000172,"{""type"":""Point"",""coordinates"":[-38.947975,-12.264396657381617]}"
00000000000000000173,"{""type"":""Point"",""coordinates"":[-38.947975,-12.248218384401115]}"
00000000000000000174,"{""type"":""Point"",""coordinates"":[-38.94769891304348,-12.274912534818942]}"
00000000000000000175,"{""type"":""Point"",""coordinates"":[-38.94769891304348,-12.258734261838441]}"
00000000000000000176,"{""type"":""Point"",""coordinates"":[-38.94769891304348,-12.242555988857939]}"
00000000000000000177,"{""type"":""Point"",""coordinates"":[-38.94742282608696,-12.269789415041783]}"
00000000000000000178,"{""type"":""Point"",""coordinates"":[-38.94742282608696,-12.253611142061281]}"
00000000000000000179,"{""type"":""Point"",""coordinates"":[-38.94742282608696,-12.23743286908078]}"
00000000000000000180,"{""type"":""Point"",""coordinates"":[-38.94714673913044,-12.265205571030641]}"
00000000000000000181,"{""type"":""Point"",""coordinates"":[-38.94714673913044,-12.249027298050141]}"
00000000000000000182,"{""type"":""Point"",""coordinates"":[-38.94714673913044,-12.232849025069639]}"
00000000000000000183,"{""type"":""Point"",""coordinates"":[-38.946870652173914,-12.261161002785515]}"
00000000000000000184,"{""type"":""Point"",""coordinates"":[-38.946870652173914,-12.244982729805015]}"
00000000000000000185,"{""type"":""Point"",""coordinates"":[-38.946594565217396,-12.274103621169917]}"
00000000000000000186,"{""type"":""Point"",""coordinates"":[-38.946594565217396,-12.257925348189415]}"
00000000000000000187,"{""type"":""Point"",""coordinates"":[-38.946594565217396,-12.241747075208915]}"
00000000000000000188,"{""type"":""Point"",""coordinates"":[-38.94631847826087,-12.271137604456825]}"
00000000000000000189,"{""type"":""Point"",""coordinates"":[-38.94631847826087,-12.254959331476323]}"
00000000000000000190,"{""type"":""Point"",""coordinates"":[-38.94631847826087,-12.238781058495823]}"
00000000000000000191,"{""type"":""Point"",""coordinates"":[-38.94604239130435,-12.268441225626741]}"
00000000000000000192,"{""type"":""Point"",""coordinates"":[-38.94604239130435,-12.252262952646241]}"
00000000000000000193,"{""type"":""Point"",""coordinates"":[-38.94604239130435,-12.236084679665739]}"
00000000000000000194,"{""type"":""Point"",""coordinates"":[-38.94576630434783,-12.266014484679667]}"
00000000000000000195,"{""type"":""Point"",""coordinates"":[-38.94576630434783,-12.245791643454039]}"
00000000000000000196,"{""type"":""Point"",""coordinates"":[-38.94549021739131,-12.275991086350976]}"
00000000000000000197,"{""type"":""Point"",""coordinates"":[-38.94549021739131,-12.256037883008357]}"
00000000000000000198,"{""type"":""Point"",""coordinates"":[-38.94549021739131,-12.236623955431755]}"
00000000000000000199,"{""type"":""Point"",""coordinates"":[-38.945214130434785,-12.267362674094707]}"
00000000000000000200,"{""type"":""Point"",""coordinates"":[-38.945214130434785,-12.241747075208915]}"
00000000000000000201,"{""type"":""Point"",""coordinates"":[-38.94493804347827,-12.272485793871867]}"
00000000000000000202,"{""type"":""Point"",""coordinates"":[-38.94493804347827,-12.244713091922007]}"
00000000000000000203,"{""type"":""Point"",""coordinates"":[-38.94466195652174,-12.275721448467968]}"
00000000000000000204,"{""type"":""Point"",""coordinates"":[-38.94466195652174,-12.252262952646241]}"
00000000000000000205,"{""type"":""Point"",""coordinates"":[-38.94438586956522,-12.276530362116992]}"
00000000000000000206,"{""type"":""Point"",""coordinates"":[-38.94438586956522,-12.242555988857939]}"
00000000000000000207,"{""type"":""Point"",""coordinates"":[-38.9441097826087,-12.27383398328691]}"
00000000000000000208,"{""type"":""Point"",""coordinates"":[-38.9441097826087,-12.235545403899723]}"
00000000000000000209,"{""type"":""Point"",""coordinates"":[-38.943833695652174,-12.2670930362117]}"
00000000000000000210,"{""type"":""Point"",""coordinates"":[-38.943557608695656,-12.276530362116992]}"
00000000000000000211,"{""type"":""Point"",""coordinates"":[-38.943557608695656,-12.237972144846797]}"
00000000000000000212,"{""type"":""Point"",""coordinates"":[-38.94328152173913,-12.269519777158775]}"
00000000000000000213,"{""type"":""Point"",""coordinates"":[-38.94300543478261,-12.278417827298052]}"
00000000000000000214,"{""type"":""Point"",""coordinates"":[-38.94300543478261,-12.239320334261839]}"
00000000000000000215,"{""type"":""Point"",""coordinates"":[-38.94272934782609,-12.270867966573817]}"
00000000000000000216,"{""type"":""Point"",""coordinates"":[-38.94245326086957,-12.278957103064068]}"
00000000000000000217,"{""type"":""Point"",""coordinates"":[-38.94245326086957,-12.23905069637883]}"
00000000000000000218,"{""type"":""Point"",""coordinates"":[-38.942177173913045,-12.2703286908078]}"
00000000000000000219,"{""type"":""Point"",""coordinates"":[-38.94190108695653,-12.27706963788301]}"
00000000000000000220,"{""type"":""Point"",""coordinates"":[-38.94190108695653,-12.236354317548747]}"
00000000000000000221,"{""type"":""Point"",""coordinates"":[-38.941625,-12.2670930362117]}"
00000000000000000222,"{""type"":""Point"",""coordinates"":[-38.941348913043484,-12.272485793871867]}"
00000000000000000223,"{""type"":""Point"",""coordinates"":[-38.94107282608696,-12.27706963788301]}"
00000000000000000224,"{""type"":""Point"",""coordinates"":[-38.940796739130434,-12.280035654596102]}"
00000000000000000225,"{""type"":""Point"",""coordinates"":[-38.940796739130434,-12.236084679665739]}"
00000000000000000226,"{""type"":""Point"",""coordinates"":[-38.94024456521739,-12.27868746518106]}"
00000000000000000227,"{""type"":""Point"",""coordinates"":[-38.93996847826087,-12.275991086350976]}"
00000000000000000228,"{""type"":""Point"",""coordinates"":[-38.93969239130435,-12.273025069637884]}"
00000000000000000229,"{""type"":""Point"",""coordinates"":[-38.93941630434783,-12.269789415041783]}"
00000000000000000230,"{""type"":""Point"",""coordinates"":[-38.93886413043479,-12.279226740947076]}"
