X,Y,Z,LAI
-3.66666666555241,40.6160714289046,0,1.73333335
-3.66369047507661,40.6160714289046,0,1.70000005
-3.6607142846008,40.6160714289046,0,1.70000005
-3.65773809412499,40.6160714289046,0,1.73333335
-3.65476190364919,40.6160714289046,0,1.83333337
-3.65178571317338,40.6160714289046,0,1.79999995
-3.64880952269757,40.6160714289046,0,1.66666663
-3.64583333222177,40.6160714289046,0,1.63333333
-3.64285714174596,40.6160714289046,0,1.73333335
-3.63988095127015,40.6160714289046,0,1.63333333
-3.63690476079435,40.6160714289046,0,1.63333333
-3.63392857031854,40.6160714289046,0,1.66666663
-3.63095237984273,40.6160714289046,0,1.63333333
-3.62797618936693,40.6160714289046,0,1.50000000
-3.62499999889112,40.6160714289046,0,1.33333337
-3.67559523697983,40.6130952384227,0,1.60000002
-3.67261904650403,40.6130952384227,0,2.06666660
-3.66964285602822,40.6130952384227,0,2.09999990
-3.66666666555241,40.6130952384227,0,1.86666667
-3.66369047507661,40.6130952384227,0,1.79999995
-3.6607142846008,40.6130952384227,0,1.76666665
-3.65773809412499,40.6130952384227,0,1.73333335
-3.65476190364919,40.6130952384227,0,1.73333335
-3.65178571317338,40.6130952384227,0,1.73333335
-3.64880952269757,40.6130952384227,0,1.73333335
-3.64583333222177,40.6130952384227,0,1.86666667
-3.64285714174596,40.6130952384227,0,2.06666660
-3.63988095127015,40.6130952384227,0,1.79999995
-3.63690476079435,40.6130952384227,0,1.66666663
-3.63392857031854,40.6130952384227,0,1.66666663
-3.63095237984273,40.6130952384227,0,1.63333333
-3.62797618936693,40.6130952384227,0,1.63333333
-3.62499999889112,40.6130952384227,0,1.70000005
-3.62202380841531,40.6130952384227,0,1.43333328
-3.68154761793144,40.6101190479409,0,1.13333333
-3.67857142745564,40.6101190479409,0,1.39999998
-3.67559523697983,40.6101190479409,0,1.56666672
-3.67261904650403,40.6101190479409,0,1.73333335
-3.66964285602822,40.6101190479409,0,2.00000000
-3.66666666555241,40.6101190479409,0,2.03333330
-3.66369047507661,40.6101190479409,0,2.03333330
-3.6607142846008,40.6101190479409,0,1.93333328
-3.65773809412499,40.6101190479409,0,1.89999998
-3.65476190364919,40.6101190479409,0,1.89999998
-3.65178571317338,40.6101190479409,0,1.86666667
-3.64880952269757,40.6101190479409,0,1.70000005
-3.64583333222177,40.6101190479409,0,1.63333333
-3.64285714174596,40.6101190479409,0,1.86666667
-3.63988095127015,40.6101190479409,0,1.73333335
-3.63690476079435,40.6101190479409,0,1.66666663
-3.63392857031854,40.6101190479409,0,1.63333333
-3.63095237984273,40.6101190479409,0,1.63333333
-3.62797618936693,40.6101190479409,0,1.63333333
-3.62499999889112,40.6101190479409,0,1.66666663
-3.62202380841531,40.6101190479409,0,1.56666672
-3.61904761793951,40.6101190479409,0,1.46666670
-3.80952380839113,40.6071428574591,0,1.10000002
-3.80654761791532,40.6071428574591,0,1.03333330
-3.80357142743951,40.6071428574591,0,1.13333333
-3.68452380840725,40.6071428574591,0,1.43333328
-3.68154761793144,40.6071428574591,0,1.46666670
-3.67857142745564,40.6071428574591,0,1.50000000
-3.67559523697983,40.6071428574591,0,1.50000000
-3.67261904650403,40.6071428574591,0,1.63333333
-3.66964285602822,40.6071428574591,0,1.66666663
-3.66666666555241,40.6071428574591,0,1.79999995
-3.66369047507661,40.6071428574591,0,1.83333337
-3.6607142846008,40.6071428574591,0,1.83333337
-3.65773809412499,40.6071428574591,0,1.79999995
-3.65476190364919,40.6071428574591,0,1.76666665
-3.65178571317338,40.6071428574591,0,1.89999998
-3.64880952269757,40.6071428574591,0,1.89999998
-3.64583333222177,40.6071428574591,0,1.79999995
-3.64285714174596,40.6071428574591,0,1.93333328
-3.63988095127015,40.6071428574591,0,1.86666667
-3.63690476079435,40.6071428574591,0,1.79999995
-3.63392857031854,40.6071428574591,0,1.73333335
-3.63095237984273,40.6071428574591,0,1.66666663
-3.62797618936693,40.6071428574591,0,1.66666663
-3.62499999889112,40.6071428574591,0,1.66666663
-3.62202380841531,40.6071428574591,0,1.66666663
-3.61904761793951,40.6071428574591,0,1.60000002
-3.80654761791532,40.6041666669773,0,1.36666667
-3.80357142743951,40.6041666669773,0,1.16666663
-3.68749999888306,40.6041666669773,0,1.29999995
-3.68452380840725,40.6041666669773,0,1.46666670
-3.68154761793144,40.6041666669773,0,1.56666672
-3.67857142745564,40.6041666669773,0,1.63333333
-3.67559523697983,40.6041666669773,0,1.63333333
-3.67261904650403,40.6041666669773,0,1.63333333
-3.66964285602822,40.6041666669773,0,1.66666663
-3.66666666555241,40.6041666669773,0,1.79999995
-3.66369047507661,40.6041666669773,0,1.83333337
-3.6607142846008,40.6041666669773,0,1.83333337
-3.65773809412499,40.6041666669773,0,1.70000005
-3.65476190364919,40.6041666669773,0,1.53333330
-3.65178571317338,40.6041666669773,0,1.70000005
-3.64880952269757,40.6041666669773,0,2.06666660
-3.64583333222177,40.6041666669773,0,2.20000005
-3.64285714174596,40.6041666669773,0,2.13333344
-3.63988095127015,40.6041666669773,0,1.93333328
-3.63690476079435,40.6041666669773,0,1.83333337
-3.63392857031854,40.6041666669773,0,1.79999995
-3.63095237984273,40.6041666669773,0,1.79999995
-3.62797618936693,40.6041666669773,0,1.79999995
-3.62499999889112,40.6041666669773,0,1.73333335
-3.62202380841531,40.6041666669773,0,1.73333335
-3.61904761793951,40.6041666669773,0,1.66666663
-3.80654761791532,40.6011904764955,0,1.56666672
-3.80357142743951,40.6011904764955,0,1.13333333
-3.78273809410887,40.6011904764955,0,1.16666663
-3.77976190363306,40.6011904764955,0,1.10000002
-3.68749999888306,40.6011904764955,0,1.23333335
-3.68452380840725,40.6011904764955,0,1.46666670
-3.68154761793144,40.6011904764955,0,1.66666663
-3.67857142745564,40.6011904764955,0,1.50000000
